timestamp_query,timestamp_resp,latency_sec,success,query,answer,used_llm,precision_at_k,recall_at_k,f1_at_k
1767077251.552057,1767077258.983766,7.4316,True,What should I do if the system says critical risk?,Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious.,True,0.0,0.0,0.0
1767077670.2324128,1767077675.271275,5.0385,True,What does risk level 4 mean?,"Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 0 (Very Low): Safe conditions. Risk level 2 (Moderate): Be vigilant, maintain lane discipline.",True,0.0,0.0,0.0
1767077926.551717,1767077931.576875,5.025,True,What does risk level 0 mean?,Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious. Risk level 4 (Critical): Immediate danger. Slow down at once.,True,0.0,0.0,0.0
1767077931.9099069,1767077936.023896,4.114,True,What does risk level 1 mean?,Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious. Risk level 4 (Critical): Immediate danger. Slow down at once.,True,0.0,0.0,0.0
1767077936.351224,1767077940.140645,3.7894,True,What does risk level 2 mean?,"Risk level 0 (Very Low): Safe conditions. Risk level 2 (Moderate): Be vigilant, maintain lane discipline. Risk level 1 (Low): Normal driving but stay cautious.",True,0.0,0.0,0.0
1767077940.4681559,1767077944.4385412,3.9704,True,What does risk level 3 mean?,"Risk level 0 (Very Low): Safe conditions. Risk level 3 (High): Increase following distance and reduce speed. Risk level 2 (Moderate): Be vigilant, maintain lane discipline.",True,0.0,0.0,0.0
1767077944.772785,1767077948.2695,3.4967,True,What does risk level 4 mean?,"Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 0 (Very Low): Safe conditions. Risk level 2 (Moderate): Be vigilant, maintain lane discipline.",True,0.0,0.0,0.0
1767077948.5991318,1767077952.216217,3.6171,True,What should I do if the system says critical risk?,Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious.,True,0.0,0.0,0.0
1767077952.541044,1767077956.3190331,3.778,True,How can I reduce risk while driving fast?,"Driver distraction (e.g., texting) increases risk even at low speeds. Driving in rain: reduce speed, increase following distance, avoid sudden braking, and keep headlights on. Observed driving context: risk_level=NA, depth=18.0, speed=77.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767077956.6391091,1767077960.061468,3.4223,True,How does speed affect accident risk?,"Driver distraction (e.g., texting) increases risk even at low speeds. Observed driving context: risk_level=NA, depth=18.0, speed=77.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=15.3, speed=65.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767077960.384628,1767077964.534956,4.1503,True,What does driver distraction mean?,"Driver distraction (e.g., texting) increases risk even at low speeds. Observed driving context: risk_level=NA, depth=26.0, speed=47.61, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=23.0, speed=27.59, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767077964.861883,1767077968.526824,3.6649,True,Why is following distance important?,Risk level 3 (High): Increase following distance and reduce speed. Safe following distance: use at least a 3-second gap; increase to 4–6 seconds in rain or low visibility. Stereo depth uses SGBM disparity; closer objects have higher disparity.,True,0.0,0.0,0.0
1767077968.890856,1767077972.52893,3.6381,True,What is a safe distance to follow another vehicle?,"Safe following distance: use at least a 3-second gap; increase to 4–6 seconds in rain or low visibility. Safe driving: keep eyes on the road, hands on the wheel, maintain steady speed and lane position. Risk level 3 (High): Increase following distance and reduce speed.",True,0.0,0.0,0.0
1767077972.85504,1767077977.564718,4.7096,True,How does stereo depth help in safety?,"Stereo depth uses SGBM disparity; closer objects have higher disparity. Observed driving context: risk_level=NA, depth=20.4, speed=24.45, behavior=C3. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Safe driving: keep eyes on the road, hands on the wheel, maintain steady speed and lane position.",True,0.0,0.0,0.0
1767077977.8970912,1767077981.662111,3.765,True,How does depth estimation affect risk prediction?,"Observed driving context: risk_level=NA, depth=20.7, speed=86.77, behavior=C9. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=17.7, speed=25.86, behavior=C7. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=23.6, speed=64.56, behavior=C8. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767077981.9855082,1767077985.362761,3.3772,True,Why did the system warn me now?,"Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 1 (Low): Normal driving but stay cautious. Risk level 2 (Moderate): Be vigilant, maintain lane discipline.",True,0.0,0.0,0.0
1767077985.690079,1767077989.116663,3.4266,True,How can I improve my driving behavior?,"Observed driving context: risk_level=NA, depth=17.4, speed=31.14, behavior=C4. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=18.0, speed=77.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=15.3, speed=65.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767078471.034313,1767078476.331521,5.2971,True,What does risk level 0 mean?,Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious. Risk level 4 (Critical): Immediate danger. Slow down at once.,True,0.0,0.0,0.0
1767078476.744483,1767078481.130351,4.3858,True,What does risk level 1 mean?,Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious. Risk level 4 (Critical): Immediate danger. Slow down at once.,True,0.0,0.0,0.0
1767078481.461927,1767078484.837117,3.3752,True,What does risk level 2 mean?,"Risk level 0 (Very Low): Safe conditions. Risk level 2 (Moderate): Be vigilant, maintain lane discipline. Risk level 1 (Low): Normal driving but stay cautious.",True,0.0,0.0,0.0
1767078485.162037,1767078488.769254,3.6072,True,What does risk level 3 mean?,"Risk level 0 (Very Low): Safe conditions. Risk level 3 (High): Increase following distance and reduce speed. Risk level 2 (Moderate): Be vigilant, maintain lane discipline.",True,0.0,0.0,0.0
1767078489.125025,1767078492.433409,3.3084,True,What does risk level 4 mean?,"Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 0 (Very Low): Safe conditions. Risk level 2 (Moderate): Be vigilant, maintain lane discipline.",True,0.0,0.0,0.0
1767078492.759611,1767078496.5157518,3.7561,True,What should I do if the system says critical risk?,Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious.,True,0.0,0.0,0.0
1767078496.84604,1767078501.144638,4.2984,True,How can I reduce risk while driving fast?,"Driver distraction (e.g., texting) increases risk even at low speeds. Driving in rain: reduce speed, increase following distance, avoid sudden braking, and keep headlights on. Observed driving context: risk_level=NA, depth=18.0, speed=77.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767078501.4808881,1767078506.015606,4.5345,True,How does speed affect accident risk?,"Driver distraction (e.g., texting) increases risk even at low speeds. Observed driving context: risk_level=NA, depth=18.0, speed=77.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=15.3, speed=65.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767078506.3570812,1767078510.223579,3.8665,True,What does driver distraction mean?,"Driver distraction (e.g., texting) increases risk even at low speeds. Observed driving context: risk_level=NA, depth=26.0, speed=47.61, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=23.0, speed=27.59, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767078510.566195,1767078514.423813,3.8576,True,Why is following distance important?,Risk level 3 (High): Increase following distance and reduce speed. Safe following distance: use at least a 3-second gap; increase to 4–6 seconds in rain or low visibility. Stereo depth uses SGBM disparity; closer objects have higher disparity.,True,0.0,0.0,0.0
1767078514.77013,1767078518.577015,3.8069,True,What is a safe distance to follow another vehicle?,"Safe following distance: use at least a 3-second gap; increase to 4–6 seconds in rain or low visibility. Safe driving: keep eyes on the road, hands on the wheel, maintain steady speed and lane position. Risk level 3 (High): Increase following distance and reduce speed.",True,0.0,0.0,0.0
1767078518.903507,1767078523.1358862,4.2324,True,How does stereo depth help in safety?,"Stereo depth uses SGBM disparity; closer objects have higher disparity. Observed driving context: risk_level=NA, depth=20.4, speed=24.45, behavior=C3. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Safe driving: keep eyes on the road, hands on the wheel, maintain steady speed and lane position.",True,0.0,0.0,0.0
1767078523.464019,1767078527.907302,4.4431,True,How does depth estimation affect risk prediction?,"Observed driving context: risk_level=NA, depth=20.7, speed=86.77, behavior=C9. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=17.7, speed=25.86, behavior=C7. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=23.6, speed=64.56, behavior=C8. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767078528.243752,1767078531.877218,3.6334,True,Why did the system warn me now?,"Risk level 4 (Critical): Immediate danger. Slow down at once. Risk level 1 (Low): Normal driving but stay cautious. Risk level 2 (Moderate): Be vigilant, maintain lane discipline.",True,0.0,0.0,0.0
1767078532.2211132,1767078536.227833,4.0067,True,How can I improve my driving behavior?,"Observed driving context: risk_level=NA, depth=17.4, speed=31.14, behavior=C4. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=18.0, speed=77.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions. Observed driving context: risk_level=NA, depth=15.3, speed=65.98, behavior=C0. Recommendation: if risk is elevated, reduce speed, increase distance, and avoid distractions.",True,0.0,0.0,0.0
1767078842.710706,1767078847.82211,5.1112,True,What does risk level 0 mean?,Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious. Risk level 4 (Critical): Immediate danger. Slow down at once.,True,0.0,0.0,0.0
1767078848.306956,1767078851.926465,3.6195,True,What does risk level 1 mean?,Risk level 0 (Very Low): Safe conditions. Risk level 1 (Low): Normal driving but stay cautious. Risk level 4 (Critical): Immediate danger. Slow down at once.,True,0.0,0.0,0.0
